facility_code,facility_name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,beds_and_cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,service_names,source,keph_level_numeric,facility_id,eligible_hemodialysis,eligible_icu_ventilator,eligible_anesthesia_theatre,eligible_mri_ct,eligible_xray,eligible_ultrasound,eligible_patient_monitor,equipment_eligible_any
25720.0,Itete Dispensary,Itete Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,8,3,11,Kakamega,Matungu,Matungu,Koyonzo,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,25720.0,False,False,False,False,False,False,False,False
25722.0,Penda Medical Center - Mathare North,Penda Medical Center - Mathare North,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,No,Yes,Yes,No,,kmhfr_openafrica_2020,3.0,25722.0,False,False,False,False,True,True,True,True
25702.0,Annie Hospital,Annie Hospital,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,30,4,34,Trans Nzoia,Kiminini,Kiminini,Hospital,Operational,Yes,Yes,Yes,Yes,,kmhfr_openafrica_2020,3.0,25702.0,False,False,False,False,True,True,True,True
25719.0,The white cresent Hospital,The white cresent Hospital,Level 5,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,87,4,91,Nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,Yes,Yes,Yes,Yes,,kmhfr_openafrica_2020,5.0,25719.0,True,True,True,True,True,True,True,True
25699.0,Lutasio Health Centre,Lutasio Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,2,2,4,Kakamega,Matungu,Matungu,Khalaba,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,25699.0,False,False,False,False,True,True,True,True
25716.0,Kitaor  Dispensary,Kitaor  Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nandi,Aldai,Aldai,Kemeloi-maraba,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,25716.0,False,False,False,False,False,False,False,False
25698.0,Namasanda Health Centre,Namasanda Health Centre,Level 2,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,10,2,12,Kakamega,Matungu,Matungu,Kholera,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,25698.0,False,False,False,False,False,False,False,False
25701.0,BROOKLYN MEDICAL CENTRE,BROOKLYN MEDICAL CENTRE,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Bomet,Bomet Central,Bomet Central,Silibwet Township,Operational,No,Yes,Yes,No,,kmhfr_openafrica_2020,3.0,25701.0,False,False,False,False,True,True,True,True
25704.0,Wellness Health Services,Wellness Health Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,,0,0,0,Machakos,Machakos Town,Machakos,Muvuti/Kiima-kimwe,Operational,No,Yes,Yes,No,,kmhfr_openafrica_2020,2.0,25704.0,False,False,False,False,False,False,False,False
25721.0,Penda Medical Centre - Lucky Summer,Penda Medical Centre - Lucky Summer,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Ministry of Health,0,0,0,Nairobi,Ruaraka,Ruaraka,Lucky Summer,Operational,No,Yes,Yes,Yes,,kmhfr_openafrica_2020,3.0,25721.0,False,False,False,False,True,True,True,True
